,base_notes,brand,gender,heart_notes,olfactory_family,perfume_name,top_notes
1210,"virginia cedar,haitian vetiver",Givenchy,men,"chestnut,orris,benzoin",floral,Gentleman Givenchy Réserve Privée,"italian bergamot,whisky"
1211,"cedar wood,coumarin",Givenchy,men,"iris,cypress",aromatic,Gentleman Givenchy Intense,"bergamot,cardamom,basil"
1212,"cedar wood,tonka beans,oak,patchouli,musk,sandalwood,vetiver",Police,men,"quince,geranium,saffron,cinnamon,tabacco leaf",spicy,Gentleman,"bergamot,citron,grapefruit,cardamom,tangerine,pepper"
1213,"cedar,white musks",Acqua Di Parma,women,"orange blossom,jasmine",floral,Gelsomino Nobile,"tuberose,rose-bay,mandarin"
1214,"leather,cashmeran,woody notes",Robert Piguet,women,vanilla,floral,Gardénia,"ylang-ylang,lily,gardenia"
1215,amber,Aerin,women,"tuberose,tiare flower,gardenia",floral,Gardenia Rattan,marine notes
1216,"benzoin,musk,sandalwood,vanilla",Penhaligon's,women,"gardenia,jasmine,lily of the valley,orange blossom,rose,tuberose,ylang-ylang,cinnamon,clove",floral,Gardenia,"bergamot,green leaves,hyacinth,magnolia,rhubarb,violet leaf"
1217,"cedar,sugar,guaiac wood,cashmere wood,tonka beans,juniper berries",Cristiano Ronaldo,men,"elemi,violet,lavender",aromatic,Game On,"apple,cardamom,icy accord,papaya"
1218,"guaiac wood,amber,vetiver,vanilla",M. Micallef,men,"jasmine,clove",woody,Gaiac,bergamot
1219,"sandalwood,amber,patchouli,vanilla,moss,musk",Gabriela Sabatini,women,"honey suckle,orange tree blossom,jasmine,heliotrope,lily of the valley,rose",floral,Gabriela Sabatini,"aldehydes,fruity notes,bergamot,lemon,tangerine"
1220,"white musk,gaiac wood,cedarwood,patchouli,vanilla",Parfums MDCI,women,"cardamom,cinnamon,clove",oriental,Fêtes Persanes,"bergamot,black pepper,elemi resin"
1221,"woody notes,tonka beans",Armaf,men,"cinnamon,lavender,violet leaves",aromatic,Futura La Homme Intense,"sage,grapefruit,cardamom"
1222,"vetiver,leather,cedar",Armaf,men,"iris,coffee,amber",aromatic,Futura La Homme,"lavender,sage,bergamot"
1223,"vanilla,musk",Armaf,women,"peach,apricot",aromatic,Futura La Femme,"rose,tangerine,pink peony"
1224,"musk,rose,patchouli",Kilian,unisex,"blackcurrant syrup,lychee",fruity,Fun Things Always Happen After Sunset,grass
1225,tobacco,Avon,men,ambergris,woody,Full Speed Virtual Adrenaline,woody notes
1226,vanilla,Oriflame,women,zinnia,fruity,Friends World For Her,peach
1227,"waterlily,cedarwood",Mexx,women,milkweed,fresh,Fresh Woman,green mandarin orange
1228,"cypress,tonka bean,amber",Fresh,unisex,"lilac,magnolia,cucumber,green notes",citrus,Fresh Life,"bergamot,orange,grapefruit"
1229,"heliotrope,musk",Clean,women,"night-blooming jasmine,rose otto",synthetic,Fresh Laundry,"brazilian orange,key lime,grass"
1230,"vetiver,oakmoss,patchouli",Emanuel Ungaro,men,"geranium,mimosa,violet leaves",aromatic,Fresh For Him,"grapefruit,ginger,bergamot"
1231,"patchouli,sandalwood,tonka beans",Emanuel Ungaro,women,"jasmine,peony,lily of the valley",oriental,Fresh For Her,"nashi,bergamot,citron"
1232,"woody notes,patchouli,ambroxan",Moschino,women,"peony,raspberry,osmanthus",fruity,Fresh Couture,"bergamot,tangerine–orange aroma,ylang-ylang"
1233,"ambroxol,vetiver,white musks,moss",Frédéric Malle,men,"angelica,cedar,oliban",woody,French Lover,"pimento - jamaica pepper,galbanum,spices"
1234,"mahogany,suede",Joop!,men,"jasmine,aromatic notes",aromatic,Freigeist,"fresh notes,gin accord"
1235,"violet blossom,sandalwood,warm skin accord",Coach,women,"jasmine,rose,lily-of-the-valley,freesia",floral,Freesia Splash,"mandarin,hyacinth,blackcurrant,aldehyde notes,leaves"
1236,"amber,oakmoss,coumarin,mastic absolute,clary sage absolute,patchouli,tonka bean absolute",Houbigant,men,"carnation,may rose absolute,geranium,rondeletia,cinnamon",chypre,Fougère Royale,"bergamot,moroccan chamomile,lavender,mediterranean herbs"
1237,"vetiver,tonka bean,patchouli,sandalwood,musk",Nobile 1942,men,"elemi resin,geranium,tobacco,aldehydes",chypre,Fougère Nobile,"bergamot,lavender,basil absolute,black pepper"
1238,"oakmoss,patchouli,tonka bean,vanilla",Parfum d'Empire,unisex,"animalic notes,hay,tobacco",chypre,Fougère Bengale,"assam tea,lavender"
1239,"patchouli,cedar,sandalwood,amber",Mexx,men,"rosemary,eucalyptus,jasmine",aromatic,Forever Classic Never Boring For Him,"bergamot,grapefruit,lemon,blood orange"
1240,"vanilla,oppoponax,honey",By Kilian,unisex,"geranium,jasmine,rose",floral,Forbidden Games,"cinnamon,peach,apple,plum"
1241,"musk,sandalwood",Essential Garden,women,"rose,jasmine,pineapple,mango",fruity,Forbidden Berries,"raspberry,pomegranate"
1242,"caramel,patchouli",Jimmy Choo,women,tiger orchid,fruity,For Women,"pear,italian orange"
1243,"patchouli,white woods,oakmoss",Jaguar,men,"ginger,green leaves,apple",citrus,For Men Ultimate Power,"mint,lemon,bergamot"
1244,"cedar,patchouli,sandalwood",Bentley,men,"leather,labdanum,clary sage",oriental,For Men Intense,"frankincense,black pepper"
1245,"moss,cedar,atlas,tobacco,incense,tonka beans",Bentley,men,"papyrus,earthy notes,patchouli,jasmine,sweet notes",oriental,For Men Black Edition,"violet,tangerine,pink pepper,nutmeg"
1246,"patchouli,cedar,bark,benzoin",Bentley,men,"wood,rum,cinnamon,sage",oriental,For Men,"bay leaf,bergamot,pepper"
1247,"cedar,ebony wood,cistus",Narciso Rodriguez,men,musk,woody,For Him Bleu Noir Extrême,"green mandarin,basil"
1248,"patchouli,amber",Narciso Rodriguez,men,musk,woody,For Him Bleu Noir,"iris,pink berries"
1249,"cashmere,amber,patchouli",Narciso Rodriguez,women,musk,chypre,For Her Pure Musc,"jasmine,orange blossom"
1250,"sandalwood,woody notes",Narciso Rodriguez,women,musk,spicy,For Her Musc Collection Intense Santal Musc,"cardamom,ylang-ylang"
1251,"amber,patchouli",Narciso Rodriguez,women,musk,floral,For Her Fleur Musc Florale,"rose petals,pink pepper,bergamot"
1252,"patchouli,amber",Narciso Rodriguez,women,musk,floral,For Her Fleur Musc,"pink pepper,rose"
1253,"amber,patchouli",Narciso Rodriguez,women,musk,floral,For Her,osmanthus
1254,"ambergris,cream,vanilla,white musk",Acqua di Genova,women,"rose,ylang-ylang",powdery,Fontana Di Trevi - Xviii,aldehydes
1255,"haitian vetiver,white amber,patchouli",David Beckham,men,"star anise,cardamom,allspice",aromatic,Follow Your Instinct,orange
1256,"oakmoss,sandalwood,red patchouli,cedar",Tiziana Terenzi,unisex,"salt,oxygen,ylang-ylang,lily of the valley,hyacinth,cardamom",aromatic,Foconero,"lemon,bergamot,lime,thyme,juniper,lavender"
1257,patchouli,Viktor & Rolf,women,"freesia,jasmine,orchid,rose",oriental,Flowerbomb,"bergamot,tea"
1258,almond wood,Kenzo,women,"bulgarian rose,gardenia",floral,Flower By Kenzo Poppy Bouquet Collector,nashi
1259,"tonka beans,white musk",Kenzo,women,"orange blossom,bulgarian rose",floral,Flower By Kenzo Eau De Vie,"ginger,neroli"
1260,"white musk,madagascar vanilla,amber,patchouli",Kenzo,women,"damask rose,rose water,mimosa,chamomile",floral,Flower By Kenzo,"sicilian lemon,orange,litchi,ginger"
1261,"patchouli,sandalwood,cedarwood,musk",Swiss Arabian,unisex,"rose,vanilla,praline",citrus,Florence,"bergamot,lemon,watery notes"
1262,"musk,ambroxan,woody notes",Jimmy Choo,women,"magnolia,sweet pea,apricot blossom",fruity,Floral,"tangerine,bergamot,nectarine"
1263,"patchouli,brown sugar",Gucci,women,"gardenia,jasmine absolute,frangipani",fruity,Flora Gorgeous Gardenia,"pear blossom,tangerine,red berries"
1264,"patchouli,sandalwood",Gucci,women,"rose,osmanthus,watery note,green notes",floral,Flora By Gucci Eau Fraîche,"peony,bergamot,kumquat,citrus"
1265,"amber,spices,vanilla,white musk",Lalique,women,"lilac,frangipani,freesia,cassia,mimosa,carnation,orchid,daphne,almond,tuberose,vanilla",floral,Flora Bella,"bergamot,mandarin orange,rose,violet"
1266,"patchouli,sandalwood",Gucci,women,"rose,osmanthus,fruity notes",floral,Flora,"peony,citrus"
1267,sandalwood,Escada,women,dahlia,fruity,Flor Del Sol,tequila sunrise
1268,"oakmoss,white musks,woody notes",Ex Nihilo,unisex,"orange blossom,jasmine,peony",floral,Fleur Narcotique,"lychee,peach,bergamot"
1269,"ambrette,civet,tolu balsam,vanilla infusion,labdanum,black locust honey",Tom Ford,women,"orange blossom,rose,osmanthus,magnolia,fresh jasmine,black locust",floral,Fleur De Portofino Eau De Parfum,"bergamot,violet leaves,sicilian lemon,orange leaves,white syringa,tangerine"
1270,"musk,vanilla,sandalwood,benzoin",Durance en Provence,unisex,"pink violet,cotton flower,jasmine",powdery,Fleur De Coton,almond
1271,"pineapple,sandalwood,cane sugar,vanilla",Ligne St Barth,women,"caribbean rose,jasmine,violet",gourmand,Fleur De Canne À Sucre,"green leaves,açaí,sugar cane"
1272,"musk,sandalwood",Floris,women,"jasmine,lily of the valley,rose,ylang-ylang,violet",floral,Fleur,"bergamot,grapefruit,melon,peach,water lily"
1273,"suede,musk,amber",Abercrombie & Fitch,men,"sichuan pepper,violet leaf,citrus fruit",oriental,First Instinct Extreme,"gin & tonic,kiwano"
1274,"sandalwood,patchouli,vanilla",Abercrombie & Fitch,women,"jasmine,apricot,peony",fruity,First Instinct Blue,"blackberry,salt,ozone,bergamot"
1275,"vetiver,patchouli,oakmoss,amber",Etienne Aigner,men,"melon,jasmine,pink pepper",fruity,First Class,"bergamot,grapefruit,apple"
1276,"frankincense,amber,musk,woody notes",Revlon,women,"orchid,pansy,tuberose,daffodil",oriental,Fire & Ice,"tangerine,osmanthus"
1277,"benzoin,cistus absolute,vanilla",Franck Boclet,men,"fir balsam,patchouli,may rose",woody,Fir Balsam,"davana,pink pepper,cardamom"
1278,"everlasting flower absolute,white musk",L'Erbolario,unisex,"rose,jasmine,iris,patchouli,salty notes",aquatic,Fior Di Salina,"bergamot,lemon,galbanum,marine notes"
1279,"tonka bean,florentine iris,cedarwood",Atelier Cologne,unisex,"fig tree leaves,fig sap",citrus,Figuier Ardent,"anise,calabrian bergamot,cardamom note"
1280,"hay,white cedar,white musk",Heeley,unisex,"fig leaf,white tea,melon",green,Figuier,"grass,rhubarb"
1281,"musk,cedar,benzoin",Escada,women,"passion flower,orange blossom,jasmine",fruity,Fiesta Carioca,"passion fruit,raspberry,violet leaf"
1282,"patchouli,cedarwood,oakmoss absolute",Molton Brown,unisex,"nutmeg,ginger,jasmine,rose",spicy,Fiery Pink Pepper,"pink pepper,mandarin orange,elemi resin,freesia"
1283,heliotrope,Philosophy,women,violet blossom,floral,Field Of Flowers Violet Blossom,ylang ylang
1284,floral notes,Philosophy,women,orange blossom,floral,Field Of Flowers Orange Blossom,lemon
1285,floral notes,Philosophy,women,peony,floral,Field Of Flowers,fresh notes
1286,"benzoin,tonka beans,sandalwood,coffee,hazelnut,vanilla",Jimmy Choo,women,"heliotrope,vanilla orchid,jasmine,orange blossom",oriental,Fever,"grapefruit,litchi,plum"
1287,sandalwood,Roger & Gallet,women,black tea,citrus,Feuille De Thé,calabrian lemon
1288,"galbanum,cinnamon,clove,patchouli,oakmoss,vetiver,cedarwood,cedar needle,labdanum,musk",Roja Parfums,women,"may rose,grasse jasmine,tuberose,ylang-ylang",chypre,Fetish,"bergamot,petitgrain"
1289,"sugar,musk,sandalwood,vanilla",Britney Spears,women,"freesia,jasmine,lily",fruity,Festive Fantasy,"plum,sour cherry,dewberry"
1290,"ambergris,tonka beans,oakmoss",Hollister,men,"bay leaf,ginger,green notes,woody notes",aromatic,Festival Vibes,"pineapple,sea notes,birch leaf"
1291,"amber,patchouli,musk,vanilla",Montblanc,women,"hawthorn,lotus,rose",oriental,Femme Individuelle,currant
1292,"oak,patchouli,vanilla",Rochas,women,"violet,clove,jasmine,rose",fruity,Femme,"peach,wood,cumin,plum"
1293,musk,Oriflame,women,mint,citrus,Feel Good Wake Up,yuzu
1294,"sandalwood,musk,vanilla",Oriflame,women,"magnolia,white turmeric,peony",citrus,Feel Good Be Happy,"blood orange,bergamot,black currant"
1295,"white musk,ambroxan,sun notes,woody notes",Furla,women,"peony,magnolia,jasmine",citrus,Favolosa,"green mandarin,grapefruit,marigold"
1296,"white musk,coconut,jasmine",Afnan,unisex,"ylang-ylang,powder,amber",oriental,Faten Meroon,"musk,vanilla,exotical floral notes"
1297,"patchouli,musk,vanilla,virginia cedar",Roccobarocco,men,"coriander,cinnamon,cumin,mexican chocolate,floral notes,coffee",aromatic,Fashion Man,"lavender,artemisia,bergamot,sage"
1298,"amber,oakmoss,musk,sandalwood,vetiver",Nina Ricci,women,"carnation,honeysuckle,geranium,iris,jasmine,cardamom,lily,lily of the valley,clary sage,rose",chypre,Farouche,"aldehydes,bergamot,galbanum,mandarin orange,peach"
1299,"moss,amber",Al Haramain,unisex,"cedar,patchouli,jasmine",aromatic,Faris Aswad,"bergamot,pineapple"
1300,all skin types,Avon,unisex,"consistency,lotion",floral,Far Away The Journey,"jasmine,freesia,musk"
1301,"black musk,patchouli",Avon,women,"orris,orange blossom,madagascar vanilla",oriental,Far Away Glamour,"pink pepper,black currant,grapefruit"
1302,"amber,woody notes,patchouli,musk",Jessica Simpson,women,"jasmine,lotus,rose,frangipani,peony",oriental,Fancy Love,"bergamot,peach blossom,sparkling wine"
1303,"amber,sandalwood,vanilla",Jessica Simpson,women,"gardenia,jasmine,caramel,almonds",oriental,Fancy,"red berries,pear,apricot"
1304,"sandalwood,vanilla",Paco Rabanne,women,"jasmine,incense",fruity,Fame,"mango,bergamot"
1305,"amber,castoreum,cedar,patchouli,caramel,sandalwood",Al Haramain,women,"incense,saffron,lavender",oriental,Fall In Love Pink,"labdanum,clove"
1306,"tonka beans,amberwood,cedar,vetiver",Lattafa,men,"lavender,sage,juniper berries,geranium",aromatic,Fakhar Lattafa Men,"apple,bergamot,ginger"
1307,"coconut,hibiscus,sandalwood",Swiss Arabian,women,peach,floral,Faith,"papaya,lemon,pineapple,mango"
1308,"woody notes,animalic notes,musk",Swiss Arabian,men,"pepper,musk",oriental,Fadeitak,amber
1309,"cedar,musk,vetiver",Salvatore Ferragamo,men,"cardamom,pepper",aromatic,F By Ferragamo Free Time,ginger
1310,"benzoin,sandalwood,vetiver,cedar,nagarmotha (cypriol)",Roger & Gallet,women,"nutmeg,palmarosa,clary sage,pink pepper,black tea",aromatic,Extrait De Cologne Thé Fantaisie,"pine,lemon,tangerine,orange,geranium,cardamom,coriander"
1311,"cedar,vetiver,angelica",Roger & Gallet,women,"ylang-ylang,tangerine,petitgrain,jasmine sambac,immortelle",citrus,Extrait De Cologne Néroli Facétie,"neroli,orange blossom,bergamot"
1312,"patchouli leaves,akigalawood,ambroxan,cacao pod",Montblanc,men,"leather,haitian vetiver",aromatic,Explorer,"bergamot,pink pepper,clary sage"
1313,"amber,sandalwood,tonka beans",Oriflame,men,"geranium,fir,cascalone",oriental,Excite Force,"melon,tangerine,apple"
1314,"amber,vetiver,leather,sandalwood",Armaf,men,"saffron,nutmeg,jasmine,woody notes",citrus,Excellus,"bergamot,grapefruit,neroli"
1315,"gaiac wood,sandalwood,ambergris",Wiener Blut,unisex,"frankincense ash,frankincense resin,frankincense oil,mastic",smoky,Ex Voto,"pink pepper,roman chamomile,sweet clover"
1316,"musk,sandalwood,amber",Jaguar,men,"apple,lavender,cardamom,sage",aromatic,Evolution,"basil,mint,orange,bergamot"
1317,incense smoke,Aerin,women,"rose absolute,centifolia rose",floral,Evening Rose,"blackberry,cognac"
1318,"cedar,musk,amber",Avon,women,"pink freesia,peony,gardenia",floral,Eve Truth,"black currant,cassis,carambola,pomegranate"
1319,"violet,amber,mahogany,musk",Calvin Klein,women,"lotus,orchid",oriental,Euphoria,pomegranate
1320,"benzoin,suede,oakmoss,white musks,tonka bean",Volnay,unisex,"jasmine,rose,vanilla,wallflower",oriental,Etoile D’Or,"lavender,bergamot"
1321,"benzoin,white musk,sandalwood,rosewood",Jardin de France,women,"rose,jasmine,violet",powdery,Etoffes De Parfum - Soie Sage,"bergamot,pepper,red berries,strawberry"
1322,"sandalwood,vetiver,amber,brasilian rose wood,musk",Calvin Klein,men,"basil,jasmine,sage,geranium,lily,lily of the valley,juniper berries,orange blossom,coriander",aromatic,Eternity For Men,"lavender,tangerine,green notes,lemon,bergamot"
1323,"gaiac wood,musk,patchouli,sandalwood",Calvin Klein,men,"lavender,pepper,plum,cedar",aquatic,Eternity Aqua For Men,"green notes,cucumber,lotus,citrus fruits"
1324,"woody notes,musk,cedar",Calvin Klein,women,"gardenia,jasmine,magnolia,tiaré",aquatic,Eternity Aqua,"apple,apricot,cucumber,peony"
1325,"amber,patchouli,musk,sandalwood,heliotrope",Calvin Klein,women,"jasmine,lily of the valley,lily,common marigold,daffodil,rose,violet,carnation",floral,Eternity,"freesia,tangerine,sage,green notes,citrus fruit"
1326,"sandalwood,iris,white musks",Estée Lauder,women,"jasmine,carnation,rose,lily-of-the-valley",floral,Estee,"tuberose,lily,coriander,aldehyde notes"
1327,"amber,cedar,patchouli,musk,vanilla",S.T. Dupont,women,"peach,jasmine,lily of the valley,rose,plum",oriental,Essence Pure Pour Femme,"freesia,tangerine,water flower"
1328,"vetiver,cinnamon",Heeley,unisex,"clove,cardamom,black pepper",spicy,Esprit Du Tigre,"camphor,peppermint,spearmint,winter green"
1329,"patchouli,musk,ambroxan,woody notes",Versace,women,"jasmine,orange tree blossom,magnolia,freesia",floral,Eros Pour Femme,"sicilian lemon,tangerine,white currant,raspberry"
1330,"patchouli,vetiver",Versace,men,"woody notes,rosemary",aromatic,Eros Flame,"chinotto citrus,black pepper"
1331,"amber,vanilla absolute,tonka beans",Versace,men,"green apple,geranium",aromatic,Eros,"mint,lemon"
1332,"white musk,amber,madagascar vanilla",Xerjoff,unisex,fruits,citrus,Erba Pura,"orange,sicilian lemon,calabrian bergamot"
1333,"vanilla,patchouli,sandalwood",Gucci,women,"heliotrope,ottoman rose",floral,Envy Me 2,"orange,violet leaves,magnolia leaves"
1334,"sandalwood,teak,pineapple,white musks,white tea",Gucci,women,"pineapple,lychee,pomegranate",floral,Envy Me,"rose-bay,pink peony"
1335,"vanilla,patchouli,vetiver,leather",Gucci,men,"jasmine,carnation,rose,sandalwood",oriental,Envy For Men,"rosewood,pepper,coriander,mandarin"
1336,"cedar,sandalwood,iris,white musks",Gucci,women,"jasmine,rose,lily-of-the-valley,hyacinth",floral,Envy,"freesia,pineapple,peach,bergamot"
1337,musk,Rasasi,women,"mimosa,rose",fruity,Entebaa Pour Femme,"black currant,pear,peach"
1338,"patchouli,oakmoss,vetiver,cedar,vanilla,iris root,labdanum,amber,musk",Roja Parfums,women,"rose de mai,ylang-ylang,jasmine,orange tree blossom,carnation",oriental,Enslaved,"bergamot,lemon,lime"
1339,"amber,vanilla,sandalwood,patchouli,iris root,musk",Roja Parfums,women,"ylang-ylang,jasmine,rose de mai,heliotrope,neroli,peach",oriental,Enigma,bergamot
1340,"moss,musk,tonka bean",Atkinsons,unisex,"clary sage,rosewood",chypre,English Lavender,"bergamot,lavender,rosemary,sage,spike lavender"
1341,"patchouli,sandalwood,oakmoss",Penhaligon's,unisex,clover,chypre,English Fern,"geranium,lavender"
1342,"patchouli,sandalwood,benzoin",Lalique,men,"haitian vetiver,orris,incense",aromatic,Encre Noire A L'Extreme,"bergamot,elemi,cypress"
1343,"cashmere wood,musk",Lalique,men,"bourbon vetiver,haitian vetiver",woody,Encre Noire,"vetiveryl acetate,cypress"
1344,"sandalwood,elemi,indonesian patchouli",Atelier Cologne,unisex,"cherry blossom,turkish rose absolute,incense",oriental,Encens Jinhae,"nutmeg,sicilian lemon,pink pepper"
1345,"mysore sandalwood,australian sandalwood,bourbon vetiver,virginia cedar,indonesian patchouli,moss,leather",Courrèges,women,"bulgarian rose,jasmine,may rose",chypre,Empreinte,"aldehydes,calabrian bergamot,brazilian mandarin orange"
1346,"vanilla,tonka beans,chestnut glacé",Armani,men,"lavender,cinnamon,sage",oriental,Emporio Stronger With You Intensely,"pink pepper,juniper"
1347,"cedar wood,vanilla",Armani,men,lavender,oriental,Emporio Stronger With You Absolutely,rum
1348,"patchouli,white musk",Armani,women,peony,oriental,Emporio In Love With You Freeze,cherry
1349,"vanilla,musk,amberwood",Armani,women,rose,fruity,Emporio Because It'S You,"raspberry,neroli,lemon"
1350,"sandalwood,cypress,kamani wood,beach skin",Estée Lauder,women,"violet blossom,mimosa,orchid,cyclamen,plum,iris,marigold",floral,Emerald Dream,"honeysuckle,apricot,basil,mandarin"
1351,"benzoin,patchouli,amber",Yves Saint Laurent,women,"jasmine,rose-bay,iris",oriental,Elle Intense,"raspberry,lychee"
1352,"ambrette,patchouli,vetiver",Yves Saint Laurent,women,"jasmine,freesia,rose-bay",floral,Elle,"peony,lychee,citron"
1353,"vanilla,tonka beans,labdanum",Lolita Lempicka,women,"cedar,violet,jasmine",spicy,Elixir Sublime,licorice
1354,"amber,cedarwood,leather,moss,musk,patchouli,vetiver",Floris,men,"laurel,fir balsam,lavender",chypre,Elite,"bergamot,cedar leaf,grapefruit,juniper berry,lemon,petitgrain"
1355,"patchouli,vanilla,labdanum,sandalwood",100BON,unisex,"jasmine,ylang-ylang,geranium,cedar",woody,Elemi & Ambre Noir,"bergamot,elemi resin,frankincense"
1356,"cedar,saffron",Joop!,men,"violet blossom,licorice",oriental,Electric Heat,"lavender,mint,lime"
1357,"musk,vanilla,tonka beans",Lattafa,unisex,"jasmine,gardenia",fruity,Ekhtiari,"fruits,tangerine"
1358,"musk,tonka bean,woods",Billie Eilish,unisex,"spices,cocoa,vanilla",gourmand,Eilish,"candied blossoms,mandarin orange,red berries"
1359,"rose,musk,ambergris,sandalwood,guaiac wood,moss,tonka beans",Al Haramain,unisex,"musk,woody notes,ambergris,sea notes,absinth,lily of the valley,aldehydes",oriental,Ehsas,"rose,musk,woody notes,ambergris,citrus fruit,spices,white flowers"
1360,"sandalwood,patchouli,musk",Rasasi,women,"jasmine,plum,orange tree blossom",floral,Egra For Women,"bergamot,water lily,freesia,pepper"
1361,"sandalwood,moss,musk",Rasasi,men,galbanum,aromatic,Egra For Men,"spruce,juniper,violet"
1362,"patchouli,amber,oud",Histoires De Parfums,unisex,"rose,raspberry",floral,Edition Rare Fidelis,"cardamom,coffee,saffron,cumin"
1363,"oakmoss,musk,amber,vanilla",Swiss Arabian,men,"rose,jasmine,geranium",fruity,Edge Intense,"bergamot,apple,pineapple,black currant,ginger"
1364,"cedar wood,patchouli,sandalwood",Swiss Arabian,men,"cinnamon,cardamom",fresh,Edge,"lemon,geranium,lavender,mint"
1365,"vanilla blossom,amber,moss,musk",Kayali,women,"red berries,raspberry blossom,jasmine,rosa centifolia",fruity,Eden Juicy Apple | 01,"red apple,blackcurrant,pink grapefruit,lychee"
1366,"amber,leather,musk,tonka bean,vanilla",Ed Hardy,women,"freesia,linden blossom,rose,watercress",fruity,Ed Hardy For Women,"apple,grapefruit,mango,woodland strawberry"
1367,"musk,leather,sandalwood,cedar",Korloff,unisex,"ambergris,plum,patchouli,jasmine",fruity,Eclats De Patchouli,"ylang-ylang,cinnamon,black pepper,saffron"
1368,neroli,4711,unisex,"lavender,rosemary",fresh,Echt Kölnisch Wasser,"bergamot,orange,lemon"
1369,"ambergris,patchouli",Biotherm,women,"freesia,jasmine,white lily",citrus,Eau Vitaminée,"grapefruit,orange,yuzu"
1370,"patchouli,white musks,texas cedar",Nicolaï,women,"jasmine,pepper,cardamom seed,rose-bay,turkish rose",floral,Eau Turquoise,"osmanthus,mango,apricot,sweet lime"
1371,"musk,sandalwood,vanilla",Christina Aguilera,women,"gardenia,jasmine,lily of the valley,magnolia",fruity,Eau So Beautiful,"pomelo,wild strawberries,violet leaf"
1372,"patchouli,moss,sandalwood",Armani,men,"clove,nutmeg,basil",citrus,Eau Pour Homme,"bergamot,tangerine,basil"
1373,"algae,moss,musk,sand flower,cedar",Biotherm,women,"cascalone,jasmine sambac,paradisone,salty notes",aquatic,Eau Océane,"bergamot,watery fruits,lemon"
1374,"ambroxan,musk,sandalwood",Brecourt,men,"geranium,hedione,marine notes,mint",aquatic,Eau Libre,"bergamot,grapefruit,pink pepper,pepper,rosemary"
1375,"sandalwood,amber",Boucheron,women,"lily-of-the-valley,iris",oriental,Eau Legère Boucheron,"orange blossom,bergamot,mandarin"
1376,"amber,saffron,musk,woody notes,platanus",Versace,men,"sage,cedar,pepper",aquatic,Eau Fraîche,"bergamot,rosewood,cardamom,lemon,carambola"
1377,"amber,virginia cedar",Repetto,women,"rose,violet petal",floral,Eau Florale,"rose,plum,grapefruit zest"
1378,"musk,amber,oakmoss,patchouli,cistus",Sisley,women,"mock-orange,jasmine absolute,rose absolute,ylang-ylang,lily of the valley,iris,juniper,clove",chypre,Eau Du Soir,"grapefruit,mandarin orange,pepper"
1379,"vanilla,sandalwood,peach,amber,massoia wood",Paco Rabanne,women,"ylang ylang,tiare flower,peony,rose absolute,karo karounde",floral,Eau De Toilette Paco Rabanne Pour Elle,"rose-bay,plum,mandarin"
1380,"vanilla,sandalwood,indonesian myrrh",Alexander Mc Queen,women,"lily-of-the-valley,rose-bay,indian jasmine",oriental,Eau De Toilette Kingdom,"orange blossom,sicilian lemon,calabrian bergamot"
1381,"amber,cedarwood",100BON,unisex,"floral accord,powdery notes",citrus,Eau De Thé & Gingembre,"lemon,lemon grass,citrus accord"
1382,"coco de mer,amber,vanilla",Tom Ford,unisex,"morrocan orange blossom,jasmine,tuberose,comorian ylang-ylang",gourmand,Eau De Soleil Blanc,"bitter orange zest,bergamot,petitgrain,caraway,pink pepper,cardamom,pistachio"
1383,"amber,moss,musk,sandalwood",Rochas,women,"jasmine,carnation,coriander,daffodil,patchouli,rose",citrus,Eau De Rochas,"basil,bergamot,lemon,lime,tangerine"
1384,"sandalwood,white musks",Yves Saint Laurent,women,"violet blossom,rose,peony,jasmine petal",floral,Eau De Printemps Paris By Yves Saint Laurent,"honeysuckle,fruity accents,morning glory"
1385,"vanilla orchid,white patchouli",jean-paul gaultier,women,orange blossom,oriental,Eau De Parfum Intense Pour Femme,"tiare flower,pomegranate"
1386,musk,Biotherm,women,"freesia,rose",fruity,Eau De Paradis,"blueberry,pomegranate,raspberry,lemon"
1387,"cedar,amber,moss",Frédéric Malle,unisex,"magnolia,patchouli,vetiver",chypre,Eau De Magnolia,bergamot
1388,"chocolate,coumarin,patchouli,cashmeran",Lacoste,men,"basil,verbena",aromatic,Eau De Lacoste L.12.12 Noir,melon
1389,"wood,vanilla",Iceberg,women,"fig,freesia,jasmine",fruity,Eau De Iceberg 74 Pour Femme,"pineapple,pear,orange"
1390,"cedar,sandalwood,oakmoss,white musks",Gucci,women,"jasmine,rose,tuberose,lily-of-the-valley",floral,Eau De Gucci,"bergamot,lemon,galbanum,hyacinth"
1391,musk,Givenchy,women,orange blossom,citrus,Eau De Givenchy,bergamot
1392,cedar,Guerlain,unisex,vervain,citrus,Eau De Fleurs De Cédrat,"bergamot,citron"
1393,"ambroxan,musk",Chloé,women,"jasmine,nasturtium,lily of the valley,rose",green,Eau De Fleurs - Capucine,"bergamot,galbanum,lemon,neroli,sage,juniper berry"
1394,"cedar,white musks,tonka bean,ambry notes",Chloé,women,"peony,clary sage,neroli,tea",citrus,Eau De Fleur De Néroli,"rosemary,mandarin,orange"
1395,"ambergris,cedar,vetiver,cashmeran,white musks",Chloé,women,"lavender,iris,tea",floral,Eau De Fleur De Lavande,"violet blossom,bergamot,citrusy notes,green notes"
